Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,ExperienceRatio,IncomePerYearExp,TenureSatisfaction
41,1,Travel_Rarely,1102,Sales,1,Life Sciences,2,94,3,Sales Executive,4,Single,5993,19479,Yes,0,8,0,1,4,0.5,665.8888888888889,16
49,0,Travel_Frequently,279,Research & Development,8,Life Sciences,3,61,2,Research Scientist,2,Married,5130,24907,No,1,10,3,3,7,0.7,466.3636363636364,14
37,1,Travel_Rarely,1373,Research & Development,2,Other,4,92,2,Laboratory Technician,3,Single,2090,2396,Yes,0,7,3,3,0,0.0,261.25,0
33,0,Travel_Frequently,1392,Research & Development,3,Life Sciences,4,56,3,Research Scientist,3,Married,2909,23159,Yes,0,8,3,3,7,0.875,323.22222222222223,21
27,0,Travel_Rarely,591,Research & Development,2,Medical,1,40,3,Laboratory Technician,2,Married,3468,16632,No,1,6,3,3,2,0.3333333333333333,495.42857142857144,4
32,0,Travel_Frequently,1005,Research & Development,2,Life Sciences,4,79,3,Laboratory Technician,4,Single,3068,11864,No,0,8,2,2,7,0.875,340.8888888888889,28
59,0,Travel_Rarely,1324,Research & Development,3,Medical,3,81,4,Laboratory Technician,1,Married,2670,9964,Yes,3,12,3,2,0,0.0,205.3846153846154,0
30,0,Travel_Rarely,1358,Research & Development,24,Life Sciences,4,67,3,Laboratory Technician,3,Divorced,2693,13335,No,1,1,2,3,0,0.0,1346.5,0
38,0,Travel_Frequently,216,Research & Development,23,Life Sciences,4,44,2,Manufacturing Director,3,Single,9526,8787,No,0,10,2,3,7,0.7,866.0,21
36,0,Travel_Rarely,1299,Research & Development,27,Medical,3,94,3,Healthcare Representative,3,Married,5237,16577,No,2,17,3,2,7,0.4117647058823529,290.94444444444446,21
35,0,Travel_Rarely,809,Research & Development,16,Medical,1,84,4,Laboratory Technician,2,Married,2426,16479,No,1,6,5,3,4,0.6666666666666666,346.57142857142856,8
29,0,Travel_Rarely,153,Research & Development,15,Life Sciences,4,49,2,Laboratory Technician,3,Single,4193,12682,Yes,0,10,3,3,5,0.5,381.1818181818182,15
31,0,Travel_Rarely,670,Research & Development,26,Life Sciences,1,31,3,Research Scientist,3,Divorced,2911,15170,No,1,5,1,2,2,0.4,485.1666666666667,6
34,0,Travel_Rarely,1346,Research & Development,19,Medical,2,93,3,Laboratory Technician,4,Divorced,2661,8758,No,1,3,2,3,2,0.6666666666666666,665.25,8
28,1,Travel_Rarely,103,Research & Development,24,Life Sciences,3,50,2,Laboratory Technician,3,Single,2028,12947,Yes,0,6,4,3,2,0.3333333333333333,289.7142857142857,6
29,0,Travel_Rarely,1389,Research & Development,21,Life Sciences,2,51,4,Manufacturing Director,1,Divorced,9980,10195,No,1,10,1,3,9,0.9,907.2727272727273,9
32,0,Travel_Rarely,334,Research & Development,5,Life Sciences,1,80,4,Research Scientist,2,Divorced,3298,15053,Yes,2,7,5,2,2,0.2857142857142857,412.25,4
22,0,Non-Travel,1123,Research & Development,16,Medical,4,96,4,Laboratory Technician,4,Divorced,2935,7324,Yes,2,1,2,2,0,0.0,1467.5,0
53,0,Travel_Rarely,1219,Sales,2,Life Sciences,1,78,2,Manager,4,Married,15427,22021,No,0,31,3,3,8,0.25806451612903225,482.09375,32
38,0,Travel_Rarely,371,Research & Development,2,Life Sciences,4,45,3,Research Scientist,4,Single,3944,4306,Yes,0,6,3,3,2,0.3333333333333333,563.4285714285714,8
